id,player_id,player,direction,date,date_precision,season,club,club_id,fee_gbp,fee_raw,fee_kind,market_value_eur,type
2009-07-01-ezekiel-zeki-fryers-in,,Ezekiel Zeki Fryers,in,2009-07-01,year,2009-10,,,,,none,,youth
2009-07-01-jesse-lingard-in,jesse-lingard,Jesse Lingard,in,2009-07-01,day,2009-10,,,,,none,,youth
2009-07-01-larnell-cole-in,larnell-cole,Larnell Cole,in,2009-07-01,year,2009-10,,,,,none,,youth
2009-07-01-ravel-morrison-in,ravel-morrison,Ravel Morrison,in,2009-07-01,year,2009-10,,,,,none,,youth
2009-07-03-michael-owen-in,michael-owen,Michael Owen,in,2009-07-03,day,2009-10,Newcastle United,newcastle-united,,£free,free,,permanent
2009-07-06-lee-martin-out,lee-martin-2005,Lee Martin,out,2009-07-06,day,2009-10,Ipswich Town,ipswich-town,,£Undisclosed fee,undisclosed,,permanent
2009-07-08-gabriel-obertan-in,gabriel-obertan,Gabriel Obertan,in,2009-07-08,day,2009-10,FC Girondins de Bordeaux,fc-girondins-de-bordeaux,,£,unknown,,permanent
2009-07-11-frazier-campbell-out,,Frazier Campbell,out,2009-07-11,day,2009-10,Sunderland,sunderland,3500000,£3.5m,fee,,permanent
2009-07-15-richard-eckersley-out,richard-eckersley,Richard Eckersley,out,2009-07-15,day,2009-10,Burnley,burnley,,£?,unknown,,permanent
2009-07-17-manucho-out,manucho,Manucho,out,2009-07-17,day,2009-10,Real Valladolid,real-valladolid,,£undisclosed,undisclosed,,permanent
2009-07-30-mama-biram-diouf-in,,Mama Biram Diouf,in,2009-07-30,day,2009-10,Molde FK,molde-fk,,£,unknown,,permanent
2010-01-01-chris-smalling-in,chris-smalling,Chris Smalling,in,2010-01-01,month,2009-10,Fulham,fulham,,£??,unknown,2000000,permanent
2010-05-19-ben-foster-out,ben-foster,Ben Foster,out,2010-05-19,day,2009-10,Birmingham City,birmingham-city,,£Undisclosed fee,undisclosed,,permanent
2010-06-15-tom-heaton-out,tom-heaton,Tom Heaton,out,2010-06-15,day,2009-10,Cardiff City,cardiff-city,,£Free,free,1250000,permanent
2010-06-15-zoran-tosic-out,zoran-tosic,Zoran Tošić,out,2010-06-15,day,2009-10,CSKA Moscow,cska-moscow,,£Undisclosed fee,undisclosed,,permanent
2010-07-01-javier-hernandez-in,chicharito,Chicharito,in,2010-07-01,day,2010-11,Club Deportivo Guadalajara,club-deportivo-guadalajara,,£undisclosed fee,undisclosed,8000000,permanent
2010-07-01-tyler-blackett-in,tyler-blackett,Tyler Blackett,in,2010-07-01,month,2010-11,,,,,none,,youth
2010-07-16-david-gray-out,david-gray,David Gray,out,2010-07-16,day,2010-11,Preston North End,preston-north-end,,£Free,free,,permanent
